Date,China Methanol price ,US Gulf Coast Methanol Price,Taiwan Methanol Price,Rotterdam Port Methanol Price,Geopolitical Risk Index Chinese,China Coal Production,Coke Comprehensive Evaluation Price Index,Monthly Output of Coke in China's Industrial Products,Monthly Supply of Coke in China,Monthly Coke Supply-Demand Gap in China,Monthly Consumption of Coke in China,Monthly Apparent Consumption of Coke in China,Global Oil Production,Brent Crude Oil Price,Natural Gas Spot Price,Purchasing Managers' Index,Industrial Production China,Exchange Rates China,Economic Policy Uncertainty China,Year-on-Year Growth Rate of Retail Sales of Consumer Goods in China (Monthly),Monthly Retail Sales of Consumer Goods in China,Year-on-Year Growth Rate of China's Producer Price Index (PPI) for Industrial Products (Monthly),Year-on-Year Growth Rate of China's Producer Price Index (PPI) for Mining Industry (Monthly),China Commodity Price Index,CCPI£ºRubber,CCPI£ºMineral,CCPI£ºEnergy,PPI-Chemistry-Industry,PPI-Coal and Coking Industry,PPI-Oil,PPI-Other,PPI-Textile Industry
2005/1/1,282.7273,82.26258,284.7727,213.4545,0.452543288,12879.1,939.2254286,1701.77,1446.5,388.06,1058.44,1610.68,84.2,44.3,6.13,54.7,7.6,8.27,75.73043972,11.5,5300.9,5.8,19.6,78.49879121,96.39492647,88.78666667,73.04,111.1,121.1,115.1,103.7,99.7
2005/2/1,274.4444,81.8665,286.6667,213.1111,0.627352595,11138.3,946.492,1724.7,1466,440.04,1025.96,1586.03,83.4,45.19,6.18,54.5,7.6,8.27,32.59744614,15.8,5012.2,5.38,21.6,79.54373626,96.09294118,89.16666667,74.59,110.1,121.1,116.6,104.1,99.3
2005/3/1,269.4318,81.50875,288.5227,214.6818,0.529752016,14002.3,960.51,1894.9,1610.67,442.15,1168.52,1727.25,83.9,53.19,6.67,57.9,15.1,8.27,99.00125034,13.9,4799.1,5.6,26.8,80.58868132,95.79095588,89.54666667,76.14,111,120.8,120.8,105.1,99
2005/4/1,259.0476,81.11268,282.0238,211.8095,0.364931285,14386.6,961.36,1804.6,1533.91,310.14,1223.78,1684.17,84.2,51.86,7.19,56.7,16,8.27,50.3678868,12.2,4663.3,5.78,29.8,81.63362637,95.48897059,89.92666667,77.69,111.2,120.6,123.4,105.1,99.5
2005/5/1,250.5556,80.72938,268.0556,210.4444,0.412679434,14989.1,961.36,1908.9,1622.57,376.07,1246.5,1780.63,84.4,48.58,6.64,52.9,16.6,8.27,105.3501677,12.8,4899.2,5.9,34.1,82.67857143,95.18698529,90.30666667,79.24,110.3,120.4,125.4,103.6,99.5
2005/6/1,246.9318,80.3333,255.2273,206.3636,0.388472319,15859.6,967.84,1962.6,1668.21,444.21,1224,1872.88,84.7,53.37,6.82,51.7,16.8,8.27,42.9722571,12.9,4935,5.2,28,83.72351648,94.885,90.68666667,80.79,108.3,120.3,120.2,103.6,99.5
2005/7/1,228.13,79.95,243.38,201.53,0.72350949,15175.6,983.96,1838.2,1562.47,318.99,1243.49,1750.33,84.4,57.4,7.54,51.1,16.1,8.27,35.5552118,12.7,4934.9,5.2,26.5,84.76846154,94.58301471,91.06666667,82.34,107.4,119,122.3,103.4,100.4
2005/8/1,204.4565,77.8696,229.4565,192.3043,0.394898683,15395.9,985.4995918,1861,1581.85,317.76,1264.1,1780.65,84.3,63.7,8.66,52.6,16,8.27,92.99913857,12.5,5040.8,5.3,28.9,85.81340659,94.28102941,91.44666667,83.89,105.5,118.3,128.1,102.7,100.1
2005/9/1,211.14,77.9773,220,193.9773,0.499459654,15764.1,991.8477959,1880.8,1598.68,337.02,1261.67,1806.29,84.7,63.27,11.39,55.1,16.5,8.27,68.26113608,12.7,5495.2,4.5,26.4,86.85835165,93.97904412,91.82666667,85.44,103.6,116.7,125.8,102.5,100.9
2005/10/1,228.38,81.5294,221.6176,211.3529,0.247055441,16354.8,998.196,2033,1728.05,390.79,1337.27,1950.92,83.2,58.54,13.54,54.1,16.1,8.27,32.7294774,12.8,5846.6,4,25.9,87.9032967,93.67705882,92.20666667,86.99,102.3,114.6,125.9,102.5,101.2
2005/11/1,241.25,85.6477,238.8636,220.7727,0.39037481,17043.1,1004.544204,2037.9,1732.22,417.59,1314.63,1947.53,83.7,55.72,10.31,54.1,16.6,8.08,86.7579808,12.4,5909,3.2,20.1,88.94824176,93.37507353,92.58666667,88.54,100.6,113.1,121.9,102.2,102
2005/12/1,252.2619,91,256.3095,242.8571,0.21323967,18002.4,1010.892408,2261.5,1922.28,557.65,1364.63,2136.17,84.6,56.4,12.72,54.3,16.5,8.08,57.22021085,12.5,6850.4,3.2,22.3,89.99318681,93.07308824,92.96666667,90.09,100.1,112.4,123.6,102.4,102.2
2006/1/1,253,98.3667,276.9667,260.2667,0.630963385,12923,1017.240612,1870.71,1590.1,289.17,1300.94,1776.94,84.8,62.64,8.74,52.1,20.1,8.07,83.60843849,15.5,6641.6,3.05,25.21,91.03813187,92.77110294,93.34666667,91.64,100.49,109.47,129.76,102.38,102.85
2006/2/1,253.5294,94.3529,293.2353,275.9412,0.471232533,13697.3,1023.588816,1828.4,1554.14,279.11,1275.03,1725.24,84.3,60.67,7.7,52.1,20.1,8.05,64.71510304,9.4,6001.9,3.01,25.24,92.08307692,92.46911765,93.72666667,93.19,99.95,107.16,131.51,101.9,102.99
2006/3/1,255.6522,92.2826,288.4783,272.6739,0.527977049,16621.8,1029.93702,2125.9,1807.02,342.81,1464.21,2018.43,84.7,61.87,6.88,55.3,17.8,8.03,84.22509569,13.5,5796.7,2.49,20.2,93.12802198,92.16713235,94.10666667,94.74,99.21,106.32,126.83,101.73,103.05
2006/4/1,257.25,87.73,285.75,263.88,0.538999081,17411.8,1036.285224,2171.8,1846.03,385.74,1460.3,2056.19,84.7,70.17,7.15,58.1,16.6,8.02,133.5047002,13.6,5774.6,1.87,12.05,94.17296703,91.86514706,94.48666667,96.29,98.68,104.87,120.89,102.03,102.85
2006/5/1,255,82.5263,281.9737,245.7368,0.568606913,17328.5,1042.633429,2340,1989,399.33,1589.67,2228.87,84.5,69.92,6.26,54.8,17.9,8.01,66.02269538,14.2,6175.6,2.43,12.88,95.21791209,91.56316176,94.86666667,97.84,99.13,105.04,120.54,102.54,103.02
2006/6/1,256.7727,81.3636,276.3182,232.0909,0.540965259,17966.7,1048.981633,2396.7,2037.2,459.86,1577.34,2270.65,84.8,68.59,6.2,54.1,19.5,8.01,110.9243461,13.9,6057.8,3.52,16.74,98.64,99,95.52,99.39,100.41,105.2,128.24,102.55,102.2
2006/7/1,252.0238,84.881,273.381,226.1905,0.743234634,16842.1,931.9588571,2389.5,2031.08,469.17,1561.91,2295.15,84.9,73.62,6,52.4,16.7,7.99,42.70708719,13.7,6012.2,3.58,15.95,99.4,96.47,95.08,100.94,100.88,106.25,124.76,102.37,101.67
2006/8/1,258.2609,119.2174,279.3478,288.8043,0.471165329,17437.4,939.2254286,2443.7,2077.15,512,1565.15,2279.29,86.1,74.39,7.36,53.1,15.7,7.97,36.35945227,13.8,6077.4,3.4,15.7,101.69,92.93,96.28,105.28,101.24,107.2,120.22,102.74,101.7
2006/9/1,322.381,166.98,385,406.1905,0.491728634,18127.5,946.492,2429.6,2065.16,491.33,1573.83,2275.57,85.6,62.9,5.14,57,16.1,7.94,71.51866428,13.9,6553.6,3.5,13.61,100.41,85.43,101.19,97.93,101.82,106.19,117.62,103.17,101.86
2006/10/1,381.3158,147.16,480.9211,401.8421,1.0864712,18654.6,960.51,2490.2,2116.67,489.88,1626.8,2358.14,85.1,57.93,5.75,54.7,14.7,7.9,74.12514591,14.3,6997.7,2.9,7.4,97.67,87.28,103.69,90.19,101.74,105,111.07,102.59,101.44
2006/11/1,412.6087,150.1087,476.3043,407.4348,0.428115994,18967.1,961.36,2554.4,2171.24,571.76,1599.48,2394.91,85.4,57.89,7.28,55.3,14.9,7.87,43.89590322,14.1,6821.7,2.78,1.9,97.41,83.13,109.12,87.63,102.22,103.36,105.76,102.65,101.36
2006/12/1,406.6667,146.5238,465,410.8333,0.412847012,20389.2,961.36,2736.2,2325.77,677.38,1648.4,2647.86,85.3,62.36,6.86,54.8,14.7,7.82,67.67838676,14.6,7499.2,3.1,2.73,102.27,82.31,110.92,93.87,102.48,103.31,106.38,102.44,101.22
2007/1/1,384.13,141.1,457.38,395.2,0.35824582,17479,967.84,2403.8,2043.23,421.84,1621.39,2273.74,85.3,53.52,6.36,55.1,12.6,7.79,80.17083733,12.7,7488.3,3.3,4.68,101.66,86.06,111.2,92.26,102.91,102.95,108.07,102.39,100.81
2007/2/1,360,121.0938,432.9688,353.7188,0.504950523,14203.2,983.96,2288.9,1945.57,413.99,1531.58,2206.81,85.3,56.81,7.98,53.1,12.6,7.75,64.65912111,16.9,7013.7,2.6,-1.25,100.44,91.19,113.46,89.4,102.55,103.65,101.61,102.55,100.77
2007/3/1,317.9545,93.7045,371.3636,258.8409,0.410570741,17775.9,996.52,2603.9,2213.32,500.3,1713.02,2451.27,85.6,61.8,7.15,56.1,17.6,7.74,70.07432251,15.3,6685.8,2.7,-1.41,102.44,89.25,115.86,94,102.66,103.82,100.41,102.43,100.44
2007/4/1,249.2105,69.9211,264.2105,194.5789,0.333311975,18846.6,1007.5,2646.4,2249.44,546.42,1703.03,2497.99,85.3,67.67,7.59,58.6,17.4,7.72,68.33133951,15.5,6672.5,2.9,0.46,105.92,92.49,117.94,99.2,102.96,104.28,101.43,102.51,100.86
2007/5/1,235.63,71.6875,243.13,179.125,0.324464619,19115.3,1102.82,2741,2329.85,550.33,1779.53,2579.63,85.5,67.04,7.64,55.7,18.1,7.68,47.7915243,15.9,7157.5,2.8,0.28,108.98,88.53,124.37,99.61,102.96,104.2,101.02,101.93,100.66
2007/6/1,245.3571,71.8214,252.5,175.8333,0.383566856,20239.7,1155.87,2889,2455.65,654.03,1801.62,2758.73,84.9,70.71,7.4,54.5,19.4,7.64,77.0894637,16,7026,2.49,-1.01,110.63,84.78,126.71,99.75,103.02,104.72,97.29,102.32,100.61
2007/7/1,245.3409,74.3068,251.0227,195.3182,0.375489593,19561,1159.1,2810.8,2389.18,603.94,1785.24,2713.11,84.2,76.84,6.2,53.3,18,7.58,136.7205776,16.4,6998.2,2.4,-0.12,115.21,84.75,128.96,104.34,102.95,104.72,97.61,103.03,100.68
2007/8/1,268.8043,88.1304,250.6522,217.4565,0.28565082,19397.1,1197.78,2795.8,2376.43,540.34,1836.09,2671.44,85.5,71.22,6.23,54,17.5,7.57,56.7362403,17.1,7116.6,2.6,1.4,118.88,85.1,145.62,107.21,102.73,104.72,98.63,103.11,100.64
